,TrialNum,Subject,CorResp,accuracy,Resp,RT,Diapo,Age_year,Gender,paper_number
347,708,1013,Image3,1.0,Image3,4452.0,45,18,male,33
348,709,1013,Image3,1.0,Image3,2559.0,42,18,male,28
349,710,1013,Image3,1.0,Image3,4856.0,26,18,male,16
350,711,1013,Image6,1.0,Image6,4263.0,32,18,male,44
351,712,1013,Image3,1.0,Image3,7573.0,28,18,male,24
352,713,1013,Image5,1.0,Image5,10014.0,22,18,male,35
353,714,1013,Image5,1.0,Image5,1892.0,15,18,male,14
354,715,1013,Image3,1.0,Image3,1935.0,20,18,male,20
355,716,1013,Image2,1.0,Image2,5533.0,31,18,male,38
356,717,1013,Image5,1.0,Image5,1889.0,9,18,male,23
357,718,1013,Image1,0.0,Image6,12963.0,39,18,male,40
358,719,1013,Image6,1.0,Image6,5019.0,29,18,male,25
359,720,1013,Image3,1.0,Image3,1680.0,24,18,male,18
360,721,1014,Image3,1.0,Image3,2651.0,28,21,female,24
361,722,1014,Image6,1.0,Image6,3923.0,14,21,female,13
362,723,1014,Image2,1.0,Image2,2051.0,5,21,female,4
363,724,1014,Image3,1.0,Image3,1425.0,37,21,female,11
364,725,1014,Image4,0.0,Image3,9949.0,44,21,female,30
365,726,1014,Image2,1.0,Image2,1583.0,17,21,female,22
366,727,1014,Image2,1.0,Image2,1941.0,41,21,female,27
367,728,1014,Image5,1.0,Image5,1922.0,40,21,female,12
368,729,1014,Image6,1.0,Image6,6289.0,29,21,female,25
369,730,1014,Image5,0.0,Image3,9210.0,22,21,female,35
370,731,1014,Image2,0.0,Image6,5079.0,33,21,female,41
371,732,1014,Image4,1.0,Image4,1487.0,7,21,female,9
372,733,1014,Image2,0.0,Image4,4741.0,25,21,female,17
373,734,1014,Image4,0.0,Image3,2840.0,21,21,female,37
374,735,1014,Image5,1.0,Image5,1233.0,15,21,female,14
375,736,1014,Image1,1.0,Image1,2246.0,12,21,female,15
376,737,1014,Image6,0.0,Image5,3051.0,38,21,female,29
377,738,1014,Image3,1.0,Image3,2929.0,45,21,female,33
378,739,1014,Image1,1.0,Image1,2526.0,18,21,female,34
379,740,1014,Image4,1.0,Image4,3043.0,23,21,female,19
380,741,1014,Image6,0.0,Image5,1592.0,43,21,female,32
381,742,1014,Image6,1.0,Image6,2655.0,32,21,female,44
384,745,1014,Image4,1.0,Image4,2445.0,3,21,female,6
385,746,1014,Image5,1.0,Image5,6069.0,13,21,female,21
386,747,1014,Image2,1.0,Image2,5614.0,31,21,female,38
387,748,1014,Image3,1.0,Image3,1622.0,24,21,female,18
388,749,1014,Image5,1.0,Image5,1512.0,8,21,female,8
389,750,1014,Image5,1.0,Image5,1813.0,30,21,female,26
390,751,1014,Image5,1.0,Image5,1145.0,6,21,female,5
391,752,1014,Image5,1.0,Image5,1232.0,9,21,female,23
392,753,1014,Image1,1.0,Image1,2896.0,35,21,female,43
393,754,1014,Image3,1.0,Image3,1677.0,26,21,female,16
394,755,1014,Image2,1.0,Image2,979.0,10,21,female,7
395,756,1014,Image1,1.0,Image1,2595.0,11,21,female,10
396,757,1014,Image3,0.0,Image1,4425.0,20,21,female,20
397,758,1014,Image1,1.0,Image1,3220.0,19,21,female,36
398,759,1014,Image4,0.0,Image1,1662.0,27,21,female,42
399,760,1014,Image6,1.0,Image6,3382.0,36,21,female,39
400,761,1014,Image3,1.0,Image3,2359.0,42,21,female,28
401,762,1014,Image6,1.0,Image6,1647.0,16,21,female,31
402,763,1014,Image1,0.0,Image5,6004.0,39,21,female,40
404,765,1014,Image6,0.0,Image4,3947.0,34,21,female,45
405,766,1016,Image3,0.0,Image1,3429.0,20,21,male,20
406,767,1016,Image2,1.0,Image2,6984.0,25,21,male,17
407,768,1016,Image6,1.0,Image6,7430.0,29,21,male,25
408,769,1016,Image5,1.0,Image5,2304.0,15,21,male,14
409,770,1016,Image1,1.0,Image1,4413.0,35,21,male,43
410,771,1016,Image2,1.0,Image2,2770.0,41,21,male,27
411,772,1016,Image6,1.0,Image6,2731.0,43,21,male,32
412,773,1016,Image4,1.0,Image4,4348.0,27,21,male,42
413,774,1016,Image1,1.0,Image1,5986.0,19,21,male,36
414,775,1016,Image6,0.0,Image3,8755.0,32,21,male,44
