Subject CorResp Acc Resp RT Diapo Age_year Gender
805 1016 Image6 1 Image6 4024 14 21 male
806 1016 Image3 1 Image3 2843 42 21 male
807 1016 Image3 1 Image3 4684 24 21 male
808 1016 Image6 1 Image6 8132 38 21 male
809 1016 Image2 1 Image2 3843 33 21 male
810 1016 Image3 1 Image3 4012 28 21 male
901 1018 Image3 1 Image3 6252 2 23 male
902 1018 Image4 1 Image4 2471 3 23 male
903 1018 Image6 1 Image6 20172 34 23 male
904 1018 Image6 1 Image6 5151 32 23 male
905 1018 Image4 1 Image4 11297 21 23 male
906 1018 Image5 1 Image5 2012 40 23 male
907 1018 Image4 1 Image4 4557 1 23 male
908 1018 Image6 1 Image6 2609 43 23 male
909 1018 Image5 1 Image5 1589 8 23 male
910 1018 Image5 1 Image5 2652 9 23 male
911 1018 Image6 1 Image6 5048 36 23 male
912 1018 Image2 1 Image2 3770 41 23 male
913 1018 Image3 1 Image3 2483 42 23 male
914 1018 Image6 1 Image6 3181 16 23 male
915 1018 Image1 0 Image3 10600 39 23 male
916 1018 Image4 1 Image4 1892 7 23 male
917 1018 Image6 1 Image6 3670 29 23 male
918 1018 Image5 1 Image5 5394 13 23 male
919 1018 Image3 1 Image3 1729 37 23 male
920 1018 Image5 0 Image3 14294 22 23 male
921 1018 Image3 1 Image3 8761 26 23 male
922 1018 Image3 1 Image3 3970 45 23 male
923 1018 Image1 1 Image1 1853 18 23 male
924 1018 Image2 1 Image2 951 10 23 male
925 1018 Image4 1 Image4 2609 23 23 male
926 1018 Image3 1 Image3 1423 24 23 male
927 1018 Image5 1 Image5 2750 15 23 male
928 1018 Image3 1 Image3 2294 20 23 male
929 1018 Image2 1 Image2 3464 25 23 male
930 1018 Image4 1 Image4 3265 44 23 male
931 1018 Image1 1 Image1 7679 19 23 male
932 1018 Image1 1 Image1 3427 12 23 male
933 1018 Image6 1 Image6 5151 38 23 male
934 1018 Image2 1 Image2 3638 31 23 male
935 1018 Image5 1 Image5 2903 30 23 male
936 1018 Image2 1 Image2 5263 33 23 male
937 1018 Image1 1 Image1 1401 4 23 male
938 1018 Image2 1 Image2 1138 5 23 male
939 1018 Image6 1 Image6 2610 14 23 male
940 1018 Image3 1 Image3 3193 28 23 male
941 1018 Image2 1 Image2 2010 17 23 male
942 1018 Image1 1 Image1 5634 35 23 male
943 1018 Image1 1 Image1 2942 11 23 male
944 1018 Image4 1 Image4 4174 27 23 male
945 1018 Image5 1 Image5 1390 6 23 male
946 1019 Image4 0 Image3 11944 1 19 male
947 1019 Image3 1 Image3 1693 2 19 male
948 1019 Image6 1 Image6 2151 14 19 male
949 1019 Image5 1 Image5 5644 13 19 male
950 1019 Image5 1 Image5 2908 40 19 male
951 1019 Image6 0 Image3 13267 34 19 male
952 1019 Image6 1 Image6 6150 32 19 male
953 1019 Image1 1 Image1 1687 4 19 male
954 1019 Image6 1 Image6 2034 43 19 male
955 1019 Image5 1 Image5 3656 9 19 male
956 1019 Image2 1 Image2 3518 25 19 male
957 1019 Image4 1 Image4 1367 3 19 male
958 1019 Image5 1 Image5 2364 15 19 male
959 1019 Image3 1 Image3 2111 20 19 male
960 1019 Image5 1 Image5 1639 6 19 male
961 1019 Image3 1 Image3 1951 26 19 male
962 1019 Image4 1 Image4 1342 7 19 male
963 1019 Image5 1 Image5 2184 8 19 male
964 1019 Image1 1 Image1 12958 39 19 male
965 1019 Image4 0 Image5 4909 21 19 male
966 1019 Image6 1 Image6 8467 29 19 male
967 1019 Image6 1 Image6 4610 36 19 male
968 1019 Image3 1 Image3 1620 37 19 male
969 1019 Image5 1 Image5 5415 30 19 male
970 1019 Image5 0 Image4 6972 22 19 male
971 1019 Image1 1 Image1 6261 35 19 male
972 1019 Image3 1 Image3 10817 45 19 male
973 1019 Image3 1 Image3 11042 42 19 male
974 1019 Image2 1 Image2 1017 10 19 male
975 1019 Image4 1 Image4 4029 27 19 male
976 1019 Image3 1 Image3 6548 28 19 male
977 1019 Image4 1 Image4 2662 23 19 male
978 1019 Image2 1 Image2 3501 41 19 male
979 1019 Image1 1 Image1 2965 11 19 male
980 1019 Image6 0 Image3 8615 16 19 male
981 1019 Image1 1 Image1 3228 18 19 male
982 1019 Image2 1 Image2 1732 5 19 male
983 1019 Image1 1 Image1 6906 12 19 male
984 1019 Image6 1 Image6 23503 38 19 male
985 1019 Image2 1 Image2 5162 33 19 male
986 1019 Image2 1 Image2 4679 31 19 male
987 1019 Image1 0 Image5 2615 19 19 male
988 1019 Image2 1 Image2 1198 17 19 male
989 1019 Image4 0 Image6 14477 44 19 male
990 1019 Image3 1 Image3 3452 24 19 male
991 1020 Image5 0 Image3 14043 22 19 female
992 1020 Image6 0 Image2 10823 34 19 female
993 1020 Image5 1 Image5 3807 9 19 female
994 1020 Image4 1 Image4 8987 44 19 female
995 1020 Image4 1 Image4 4694 23 19 female
996 1020 Image1 0 Image2 9244 12 19 female
997 1020 Image6 0 Image3 21724 36 19 female
998 1020 Image3 1 Image3 4080 42 19 female
999 1020 Image6 0 Image2 16442 29 19 female
1000 1020 Image4 1 Image4 6024 27 19 female
1001 1020 Image2 1 Image2 1538 17 19 female
1002 1020 Image3 1 Image3 1668 37 19 female
1003 1020 Image1 1 Image1 5141 19 19 female
1004 1020 Image5 1 Image5 2680 6 19 female
1005 1020 Image1 1 Image1 3405 11 19 female
1006 1020 Image3 1 Image3 2325 24 19 female
1007 1020 Image3 1 Image3 5929 28 19 female
1008 1020 Image5 1 Image5 3926 40 19 female
1009 1020 Image2 1 Image2 1339 10 19 female
1010 1020 Image5 1 Image5 1934 8 19 female
1011 1020 Image6 1 Image6 15140 38 19 female
1012 1020 Image2 1 Image2 2704 25 19 female
1013 1020 Image3 1 Image3 5936 20 19 female
1014 1020 Image4 1 Image4 5316 1 19 female
